id,name,local_name,district,city,latitude,longitude,start_date,end_date,timings,category_id,short_description,cultural_significance,history_origin,major_attractions,local_food,activities,expected_footfall,official_website
22,Bidar Utsav (Bahmani Heritage & Deccan Culture),ಬೀದರ್ ಉತ್ಸವ,Bidar,Bidar,17.9174,77.5303,2026-01-23,2026-01-25,All Day,23,"Celebrated within the colossal triple-moated Bidar Fort and Mahmud Gawan Madrasa. Spotlights the historic fusion of Persian, Turkish, and Deccan architectural heritage, Sufi devotional music, Bidriware metal crafts, and kite festivals.",Celebrates Bidar's cosmopolitan Deccan synthesis and preserves the GI-certified Bidriware craft of silver inlay on blackened zinc-copper alloy.,Bidar was the grand medieval capital of the Bahmani Sultanate and Barid Shahi dynasty from 1422 CE.,"['3D projection mapping and laser shows onto the walls of the 15th-century Bidar Fort', 'Live Bidriware artisan workshops in the historical Old City bazaars', 'International Kite Flying Festival over the fort battlements', 'Sufi music night featuring acclaimed Ghazal and Qawwali maestros']","['Bidar Biryani & Dum Pukht specialties', 'Jowar Rotti with Chana Dal Usli', 'Bidar style Khubani ka Meetha (Apricot dessert)', 'Malida sweet with pure ghee']","['bidar', 'bidar-fort', 'bidriware', 'bahmani', 'deccan', 'sufi-music', 'kalyana-karnataka']",120000,
23,Kodagu Kailpodh & Huthri Harvest Festival,ಕೊಡಗಿನ ಕೈಲ್‌ಪೊದ್ & ಹುತ್ತರಿ ಹಬ್ಬ,Kodagu,Madikeri / Gonikoppal,12.4244,75.7382,2026-09-03,2026-09-04,All Day,24,"The quintessential cultural festivals of the warrior clan of Kodagu. Kailpodh marks the worship of traditional weaponry (Kopri, Odi Katti) and agrarian tools following transplanting, while Huthri is the joyous harvesting of the first ear of golden paddy by moonlight accompanied by rhythmic Dudikott Paat folk songs.","Represents the martial ethos, nature-worship, and egalitarian community solidarity of the indigenous Kodava community.",Unbroken ancestral tradition preserved in Kodagu Ainmanes (traditional ancestral homes) for centuries.,"['Ayudha Puja of traditional ancestral arms and coconut-shooting shooting contests (Eedu)', ""Solemn night procession into the paddy field for 'Poli Poli Deva' paddy cutting"", 'Kodava Valaga folk dance with swords (Bolak-aat, Kol-aat, Pariyakali)', 'Communal feast at traditional Ainmanes in Kodava Kupya-Chele attire']","['Kadambuttu with Pandi Curry (or traditional veg Bamboo Shoot / Kanni curry)', 'Paputtu with Noolputtu and fresh coconut milk', 'Thambuttu (mashed banana and roasted rice flour sweet made during Huthri)', 'Coorg Kaapi and Kadamittu']","['kodagu', 'kailpodh', 'huthri', 'kodava', 'harvest', 'martial-tradition', 'ainmane', 'coffee-hills']",85000,
24,Kanakagiri Utsava (Suvarnagiri Heritage),ಕನಕಗಿರಿ ಉತ್ಸವ,Koppal,Kanakagiri,15.5728,76.4228,2026-02-20,2026-02-22,All Day,25,"Celebrated at historical Kanakagiri ('Golden Hill'), famous for the proverb 'Kallidare Kanakagiri nodu' (If you have eyes, you must see Kanakagiri). Showcases the magnificent stone architecture of Kanakachala Lakshmi Narasimha Temple and Vijayanagara Nayaka art.",Commemorates the regional cultural brilliance of the Kanakappa Nayaka chieftaincy under the Vijayanagara Empire.,Identified as the ancient Mauryan provincial capital 'Suvarnagiri' and later developed by Vijayanagara Nayakas in the 16th century.,"['Sound and light spectacles around the Kanakachala Temple stone gopura', 'Traditional Bayalata and Togalu Gombeyata (Leather Puppet Theatre)', 'Koppal handloom khadi and Kinnal craft displays']","['Sajje Rotti with Badanekayi Yennegai', 'Kanakagiri style Girmit with Mirchi Bajji', 'Shenga Chutney with hot Jolada Rotti', 'Ghee-soaked Boondi Laddu']","['kanakagiri', 'koppal', 'suvarnagiri', 'nayaka', 'kinnal-craft', 'folk-arts', 'temple']",80000,
25,Lakkundi Utsava (City of 100 Stepwells),ಲಕ್ಕುಂಡಿ ಉತ್ಸವ (ಮೆಟ್ಟಿಲು ಬಾವಿಗಳ ನಗರಿ),Gadag,Lakkundi,15.3887,75.7171,2026-02-12,2026-02-14,All Day,26,"Staged in the ancient city of Lokkigundi (modern Lakkundi), which was home to 101 stepped wells (Kalyanis) and 101 ornate chloritic schist temples. Features classical music by illuminated stepwells such as Musukina Bavi and Brahma Jinalaya.",Celebrates the zenith of Kalyana Chalukya architectural ingenuity and the legacy of legendary patron Attimabbe ('Danachintamani').,"Lakkundi was an imperial minting capital and a major metropolis in the 10th-12th centuries under the Western Chalukyas, Hoysalas, and Seunas.","['Illuminated stepwell concerts at Musukina Bavi and Kasi Vishveshwara Temple', 'Attimabbe National Literary and Women Leadership Awards', 'Live stone carving demonstrations by contemporary sculptors', 'Heritage cycle tours across all surviving Kalyanis']","['Gadag style Crispy Jolada Rotti with Shenga Pudi', 'Moong Dal Kosambari with fresh grated coconut', 'Churmuri / Girmit with hot chilli bajji', 'Dharwad Pedha & Balepale']","['lakkundi', 'gadag', 'stepwells', 'kalyani', 'chalukya', 'attimabbe', 'sculpture']",55000,
26,Kittur Rani Chennamma Vijayotsava,ಕಿತ್ತೂರು ರಾಣಿ ಚೆನ್ನಮ್ಮ ವಿಜಯೋತ್ಸವ,Belagavi,Kittur,15.6015,74.7937,2026-10-23,2026-10-25,All Day,27,"Celebrated with patriotic fervor in Kittur to commemorate Queen Rani Chennamma's historic armed rebellion and victory against the British East India Company in October 1824, 33 years before the 1857 Sepoy Mutiny.","A symbol of Kannada valor, women leadership, and early Indian anti-colonial freedom struggle.",Rani Chennamma and her lieutenant Krantiveera Sangolli Rayanna routed the British forces led by John Thackeray at Kittur Fort in 1824.,"['Veerajyoti (Torch of Valor) flame relay from Sangolli and Belagavi to Kittur Fort', 'Spectacular light and sound reenactment of the Kittur battle within the fort ruins', 'Traditional Mallakhamba and wrestling (Kushti) demonstrations', 'Patriotic choral songs and folk plays on Chennamma & Sangolli Rayanna']","['Belgaum Kunda (traditional roasted milk dessert)', 'Gokak Karadantu (dry fruit and edible gum jaggery sweet)', 'Jolada Rotti with Yennegai and raw onion salad', 'Shenga Holige with ghee']","['kittur', 'rani-chennamma', 'freedom-struggle', 'belagavi', 'sangolli-rayanna', 'valor', 'patriotic']",160000,
27,Karwar Beach Festival (Karavali Utsava),ಕಾರವಾರ ಬೀಚ್ ಉತ್ಸವ (ಕರಾವಳಿ ಉತ್ಸವ),Uttara Kannada,Karwar (Rabindranath Tagore Beach),14.808,74.124,2026-12-26,2026-12-30,All Day,28,"Staged along the crescent-shaped Rabindranath Tagore Beach where the young poet laureate Tagore was inspired to write his early verses. Features water sports, international sand sculptures, coastal Konkani music, and beach sports.","Celebrates Uttara Kannada's pristine coastal ecology, naval heritage (INS Chapal Warship museum), and vibrant Konkan-Kannada syncretism.",Inaugurated as an annual tourism flagship in the 1990s celebrating Karwar's maritime history and literary links.,"['Giant Sand Art sculptures created by world-renowned artists on the shoreline', 'Paramotoring, jet skiing, and banana boat rides on Arabian Sea waters', 'INS Chapal Warship light & laser showcase', 'Coastal Konkani & Kannada musical fusion evenings']","['Karwar style Cashew Green Chilli Upkari', 'Karwari Fish Curry & Rawa Fried Surmai (or veg Phalguni coconut curries)', 'Amboli with coconut chutney', 'Mangalore Buns and fresh Elaneer (Tender Coconut)']","['karwar', 'karavali', 'beach-fest', 'tagore-beach', 'sand-art', 'coastal', 'arabian-sea']",140000,
28,Sonda Sri Vadiraja Swamy Rathotsava,ಸೋದಾ ವಾದಿರಾಜ ಸ್ವಾಮಿ ಮಹಾ ರಥೋತ್ಸವ,Uttara Kannada,Sonda (Sirsi),14.7335,74.8197,2026-03-05,2026-03-07,All Day,29,"Celebrated in the tranquil Western Ghats valley of Sonda (Sodhe), the sacred seat of Sri Vadiraja Tirtha (1480-1600 CE). Devotees gather for the pulling of the grand Trivikrama Ratha and the sacred Hayagriva Prasada distribution at the Vadiraja Brundavana.","Venerates Saint Vadiraja Tirtha, a towering figure in Haridasa Sahitya, composer of 'Yuktimallika' and 'Rukminisha Vijaya'.","Established in the 16th century when Arasappa Nayaka, King of Sonda, gifted the principality to Saint Vadiraja.","['Pulling of the ancient Sri Trivikrama Temple Chariot', ""Darshan of the sacred Rama Trivikrama stone idol and Vadiraja's Brundavana"", 'Dhavala Ganga sacred tank holy dip', 'Haridasa Keerthane concerts by veteran classical vocalists']","['Authentic Hayagriva Maddi (heritage sweet made with Bengal gram, jaggery, and dry fruits)', 'Sonda Mutt Annaprasada with authentic Huli and Saaru', 'Malnad Jackfruit Payasa', 'Bakshya (Holige) with fresh coconut milk']","['sonda', 'vadiraja', 'hayagriva', 'sirsi', 'dvaita', 'haridasa', 'western-ghats']",60000,
29,Guledgudda Channabasaveshwara Jatre & Weavers Fair,ಗುಳೇದಗುಡ್ಡ ಚೆನ್ನಬಸವೇಶ್ವರ ಜಾತ್ರೆ ಮತ್ತು ಕೈಮಗ್ಗ ಉತ್ಸವ,Bagalkote,Guledgudda,16.0526,75.9288,2026-01-20,2026-01-22,All Day,30,"Celebrated in Guledgudda, famed across India as the handloom capital of the traditional 'Khana' (blouse fabric). The festival combines the spiritual car festival of Sri Channabasaveshwara with a vibrant regional handloom exhibition and wrestling tourney.",Showcases the heritage GI-tagged Guledgudda Khana weaving tradition practiced by generations of master weavers.,"Rooted in the 12th-century Vachanakara Channabasavanna's tradition, nurtured under the historical Keladi and Maratha periods.","[""Decorated chariot pulling through the weavers' heritage quarters"", 'Live handloom demonstrations of authentic Guledgudda Khana fabrics', 'State-level Kushti (mud wrestling) tournament', 'North Karnataka Vachana and Janapada singing assemblies']","['Guledgudda Shenga Holige (Thin peanut jaggery flatbread)', 'Crispy Jolada Rotti with Badanekayi Ennegayi', 'Spicy Mirchi Girmit', 'Sajje Rotti with homemade white butter']","['guledgudda', 'khana', 'handloom', 'bagalkote', 'channabasaveshwara', 'weavers', 'jatre']",95000,
30,Sagara Ikkeri & Keladi Nayaka Malnad Utsava,ಸಾಗರ ಇಕ್ಕೇರಿ & ಕೆಳದಿ ನಾಯಕ ಮಲೆನಾಡು ಉತ್ಸವ,Shivamogga,Sagara / Ikkeri,14.167,75.0337,2026-12-04,2026-12-06,All Day,31,"Celebrated at Sagara, Ikkeri, and Keladi, the regal seats of the Keladi Nayakas (including the legendary Queen Keladi Chennamma who sheltered Shivaji's son Rajaram). Highlights include all-night Yakshagana, Rangayana theatre, and sandalwood carving.","Celebrates Malnad's rich theatre tradition, Gudigar sandalwood craftsmanship, and Keladi architectural marvels.",Keladi and Ikkeri served as the capitals of the Keladi Nayakas from 1499 to 1763 CE.,"['Aghoreshwara Temple illuminated sound and light evening', 'All-night Badaguthittu Yakshagana and contemporary drama by Ninasam / Heggodu artistes', 'Gudigar traditional sandalwood and rosewood carving exhibition', ""Heritage trail through the Keladi Museum's ancient copper plate grants""]","['Malnad Halasina Payasa (Jackfruit Kheer)', 'Todadevu (Paper-thin sugarcane crepe)', 'Kotte Kadubu steamed in jackfruit leaves with coconut chutney', 'Maland style Appemidi gojju and hot rice']","['sagara', 'ikkeri', 'keladi-nayaka', 'shivamogga', 'yakshagana', 'ninasam', 'malnad']",48000,
31,Nanjarayapatna Riverine Kambala & Coorg Folk Meet,ನಂಜರಾಯಪಟ್ಟಣ ಕಂಬಳ ಮತ್ತು ಜಾನಪದ ಸಮ್ಮೇಳನ,Kodagu,Nanjarayapatna (Kushalnagar),12.455,75.89,2026-12-19,2026-12-20,All Day,3,"The unique inland Malnad-Kodagu edition of the buffalo race held along the banks of River Kaveri in Nanjarayapatna, bringing together highland Kodava and Gowda farming families in celebration of the winter harvest.",A rare high-altitude agrarian buffalo sprint tradition demonstrating deep bonding between highland farmers and their cattle.,Conducted since the era of the Haleri Rajas of Coorg who patronized post-harvest rural games in the Cauvery basin.,"['Thrilling buffalo sprint races along the muddy bank tracks of River Kaveri', 'Traditional Kodava Valaga drum beats and warrior folk dances', 'Rural archery and coconut-shooting championships']","['Akki Rotti with spicy Thondekai Palya', 'Kadambuttu with hot Kaveri fish curry or veg bamboo curry', 'Coorg Kaapi with Jaggery', 'Thambuttu (Huthri special sweet banana dumplings)']","['kodagu', 'nanjarayapatna', 'kambala', 'kaveri-basin', 'folk-sport', 'kushalnagar']",40000,
32,Mundkur Sri Durga Parameshwari Rathotsava,ಮುಂಡ್ಕೂರು ದುರ್ಗಾಪರಮೇಶ್ವರಿ ರಥೋತ್ಸವ,Udupi,Mundkur (Karkala),13.162,74.885,2026-02-18,2026-02-21,All Day,33,"Celebrated at the ancient Sri Durga Parameshwari Temple on the banks of Shambhavi River in Mundkur. Features the pulling of the grand Brahma Ratha, sacred Daivaradhane (Bhoota Kola), and classical Yakshagana prasanga performances.",A major focal point of Shakti veneration and Daiva (Bhoota) harmony in coastal Udupi-Dakshina Kannada borderland.,Consecrated by Sage Bhargava (Parashurama Kshetra) and patronized by the local Jain and Alupa Samanthas in the 10th century.,"['Brahma Ratha Chariot festival with traditional Chande and Maddale orchestra', 'Bhoota Kola rituals honoring Pilichamundi and Jarandaya Daivas', 'All-night Tenkutittu Yakshagana staged on open-air riverbank grounds']","['Moode Idli with Koli / Veg Menaskai', 'Goli Baje with coconut-ginger dip', 'Kottige with sweet coconut milk', 'Mangalorean Halwa and Patrode']","['mundkur', 'udupi', 'durga-parameshwari', 'rathotsava', 'daivaradhane', 'bhoota-kola', 'karavali']",85000,
33,Koodli Sangama Maha Shravanotsava,ಕೂಡ್ಲಿ ಸಂಗಮ ಮಹಾ ಶ್ರಾವಣೋತ್ಸವ,Shivamogga,Koodli (Bhadravathi / Shivamogga),14.0289,75.6983,2026-08-14,2026-08-17,All Day,34,"Celebrated at Koodli, the holy confluence where River Tunga and River Bhadra unite to form the mighty Tungabhadra River. Devotees take holy snana at the Sangama and attend special pujas at the 12th-century Hoysala Rameshwara temple and the historic Koodli Arya Akshobhya Teertha Matha.","A sacred Sangama Kshetra where Advaita, Dvaita, and Shaiva traditions harmoniously converge with river veneration.","Recorded since the Hoysala Empire under King Veera Ballala II (12th century), home to ancient Advaita and Dvaita monastic seats.","['Maha Sangama Snana and Ganga Arati at the union point of Tunga & Bhadra rivers', 'Darshan of the 12th-century Hoysala Chintamani Narasimha and Rameshwara shrines', 'Vedic chanting and Rudrabhisheka during sacred Shravana Somavara']","['Malnad Shravana Satvik Prasada (Rice, Rasam, and Halasina Payasa)', 'Akki Rotti with Menthe Gojju', 'Appehuli (raw mango herbal soup)', 'Chikkamagaluru / Shivamogga Filter Coffee']","['koodli', 'sangama', 'shivamogga', 'tunga', 'bhadra', 'tungabhadra', 'hoysala', 'shravana']",90000,
34,Moodabidri Thousand Pillar Basadi Deepotsava,ಮೂಡುಬಿದಿರೆ ಸಾವಿರ ಕಂಬದ ಬಸದಿ ದೀಪೋತ್ಸವ,Dakshina Kannada,Moodabidri,13.069,74.996,2026-11-15,2026-11-17,All Day,35,"Staged at the breathtaking 1430 CE Tribhuvana Tilaka Chudamani Basadi (popularly known as the Thousand Pillar Basadi or Savira Kambada Basadi) in Moodabidri, known as the 'Jain Kashi of the South'. Thousands of clay lamps illuminate the granite colonnades and the 8-foot monolithic idol of Lord Chandranatha.",Preserves priceless Jain palm-leaf manuscripts (Dhavala texts) and exemplifies Vijayanagara-era stone craftsmanship.,Built in 1430 CE by the local chieftain Devaraya Wodeyar and enhanced by Queen Nagala Devi with its famous 50-foot monolithic Manastambha.,"['Illumination of the 1,000 intricately carved non-repeating granite pillars', 'Special Darshan of the 8-ft Chandranatha Swami idol and Guru Basadi Dhavala texts', 'Classical flute and Veena concerts in the open pillared mandapa', 'Heritage walk across the 18 historical Jain Basadis of Moodabidri']","['Satvik Jain Coastal Meal (No root vegetables, pure unrefined organic coconut-based curries)', 'Moode with coconut chutney', 'Mangalore Goli Baje', 'Pathrode (steamed colocasia parcels)']","['moodabidri', 'jain-kashi', 'thousand-pillar-basadi', 'chandranatha', 'deepotsava', 'heritage', 'granite']",95000,
35,Nanjangud Srikanteshwara Dodda Jathre (Gautama Ratha),ನಂಜನಗೂಡು ಶ್ರೀ ನಂಜುಂಡೇಶ್ವರ ದೊಡ್ಡ ಜಾತ್ರೆ (ಗೌತಮ ರಥ),Mysuru,Nanjangud,12.1197,76.6806,2026-03-31,2026-04-02,All Day,36,"Known as the 'Dakshina Kashi' (Kashi of the South) on the banks of Kapila (Kabini) River. Over 300,000 pilgrims congregate for the pulling of 5 monumental wooden chariots led by the colossal 90-foot Gautama Ratha carrying Lord Srikanteshwara (Nanjundeshwara).","Lord Shiva is worshipped as Nanjundeshwara, the benevolent healer who consumed the Halahala poison to save creation.","Dating to the Ganga Dynasty (9th century) and expanded extensively by Hoysala and Mysuru Wadiyar monarchs, including a special emerald necklace gifted by Tipu Sultan who called the deity 'Hakim Nanjunda'.","['Simultaneous pulling of 5 giant chariots (Gautama, Chandikeshwara, Subramanya, Ganapathi, Parvathi)', 'Sacred holy bath (Snana) in the sacred Kapila River', 'Darshan of the 100-foot-tall Mahadwara Gopura and nine emerald Shiva Lingas', 'Nightly Teppotsava (coracle/float festival) on Kapila waters']","['Nanjanagudu Rasabale (World-famous GI tagged aromatic small banana)', 'Nanjangud style Puliyogare and Sweet Pongal', 'Mysore Pak & Maddur Vada', 'Kapila River style fresh tender coconut water']","['nanjangud', 'dakshina-kashi', 'srikanteshwara', 'gautama-ratha', 'kapila-river', 'rasabale', 'mysuru']",350000,
